"Variable","Overall","ArmA","ArmB","SMD"
"Age, y","71.3 (13.6)","70.0 (12.9)","71.4 (13.6)","0.106"
"Female","6702 (45.7)","702 (39.6)","6000 (46.5)","0.139"
"Age ≥ 75 y","6679 (45.5)","719 (40.6)","5960 (46.2)","0.113"
"Heart rate, bpm","79.9 (18.2)","81.5 (17.9)","79.7 (18.2)","0.103"
"QRS duration, ms","106.7 (25.6)","108.9 (26.2)","106.4 (25.5)","0.096"
"QTc interval (Bazett), ms","458.7 (29.6)","463.5 (28.2)","458.1 (29.7)","0.189"
"Atrial fibrillation","4836 (32.9)","684 (38.6)","4152 (32.2)","0.135"
"Left bundle branch block","1060 (7.2)","160 (9.0)","900 (7.0)","0.076"
"Creatinine, mg/dL","1.1 [0.8, 1.5]","1.2 [0.9, 1.7]","1.1 [0.8, 1.5]","0.142"
"eGFR, mL/min/1.73 m²","59.9 (28.3)","56.4 (28.0)","60.4 (28.4)","0.142"
"eGFR < 60 mL/min/1.73 m²","7156 (50.4)","975 (55.4)","6181 (49.7)","0.114"
"Potassium, mEq/L","4.2 (0.6)","4.3 (0.7)","4.2 (0.6)","0.142"
"Sodium, mEq/L","112.0 (2.3)","112.1 (2.4)","112.0 (2.3)","0.067"
"Hemoglobin, g/dL","10.8 (1.9)","11.1 (2.0)","10.8 (1.9)","0.199"
"Troponin T, ng/mL","0.1 [0.0, 0.4]","0.1 [0.0, 0.6]","0.1 [0.0, 0.4]","0.038"
"NT-proBNP, pg/mL","3680.0 [1403.5, 9184.0]","3409.5 [1470.2, 7941.5]","3718.0 [1390.0, 9329.0]","0.080"
"ECGs during index stay, No.","2.8 (2.0)","3.1 (2.1)","2.7 (1.9)","0.193"
