"psi","mu_b","true_zone","K","exV","sps","rmse_mc","rmse_mcmc","n"
-0.4,-0.4,"mixed",12,0,0.06,0.0453249421781459,0.0427555905998997,1000
-0.4,-0.4,"mixed",12,0,0.1,0.0722622505823244,0.0701411351023036,1000
-0.4,-0.4,"mixed",12,0.3,0.06,0.0712784168185869,0.0717869064047172,1000
-0.4,-0.4,"mixed",12,0.3,0.1,0.0828254802359881,0.0830917758327888,1000
-0.4,-0.4,"mixed",25,0,0.06,0.0420933090293104,0.0406167628942553,1000
-0.4,-0.4,"mixed",25,0,0.1,0.0702441709382901,0.0690041659123864,1000
-0.4,-0.4,"mixed",25,0.3,0.06,0.0671039938308788,0.0675899819837007,1000
-0.4,-0.4,"mixed",25,0.3,0.1,0.0798686890196537,0.0800509782710764,1000
-0.4,-0.2,"mixed",12,0,0.06,0.0460724445416402,0.0434408302890898,1000
-0.4,-0.2,"mixed",12,0,0.1,0.070594462619662,0.06910339431498,1000
-0.4,-0.2,"mixed",12,0.3,0.06,0.0885617554904101,0.088623090881235,1000
-0.4,-0.2,"mixed",12,0.3,0.1,0.093485153043745,0.092978644073378,1000
-0.4,-0.2,"mixed",25,0,0.06,0.0388778468625971,0.0376168294509369,1000
-0.4,-0.2,"mixed",25,0,0.1,0.0645223969796481,0.0637057421094829,1000
-0.4,-0.2,"mixed",25,0.3,0.06,0.0823705061554692,0.0825584708710824,1000
-0.4,-0.2,"mixed",25,0.3,0.1,0.0871440043857876,0.087160671994301,1000
-0.4,-0.1,"effect-dominated",12,0,0.06,0.0449443561373928,0.0406622144766775,1000
-0.4,-0.1,"effect-dominated",12,0,0.1,0.0695872982133195,0.0655788545487165,1000
-0.4,-0.1,"effect-dominated",12,0.3,0.06,0.105248188695936,0.0963266103929568,1000
-0.4,-0.1,"effect-dominated",12,0.3,0.1,0.104843968750343,0.0961112071386856,1000
-0.4,-0.1,"effect-dominated",25,0,0.06,0.0365460919900609,0.0336019278674382,1000
-0.4,-0.1,"effect-dominated",25,0,0.1,0.0571813098528207,0.0556031218692789,1000
-0.4,-0.1,"effect-dominated",25,0.3,0.06,0.0976561050219825,0.0974264706949869,1000
-0.4,-0.1,"effect-dominated",25,0.3,0.1,0.0975126628591795,0.0971836691847867,1000
-0.2,-0.4,"bias-dominated",12,0,0.06,0.0767968977558124,0.07399580276642,1000
-0.2,-0.4,"bias-dominated",12,0,0.1,0.11867306967137,0.113570938039072,1000
-0.2,-0.4,"bias-dominated",12,0.3,0.06,0.101110410004674,0.101015259390486,1000
-0.2,-0.4,"bias-dominated",12,0.3,0.1,0.128617219510884,0.126034849801497,1000
-0.2,-0.4,"bias-dominated",25,0,0.06,0.0749131463271866,0.0736457506030411,1000
