"method","true","zone","diff","n"
"MC",0.111111111111111,"effect-dominated",-0.0407491820958299,8000
"MC",0.121951219512195,"effect-dominated",-0.0443367462772257,8000
"MC",0.138888888888889,"effect-dominated",-0.0490611245541616,8000
"MC",0.15625,"effect-dominated",-0.0515380275784289,8000
"MC",0.178571428571429,"effect-dominated",-0.0549480797114476,8000
"MC",0.2,"effect-dominated",-0.0441888749191441,8000
"MC",0.217391304347826,"effect-dominated",-0.0544767682032323,16000
"MC",0.24390243902439,"effect-dominated",-0.0502539955505911,8000
"MC",0.263157894736842,"effect-dominated",-0.0673949686758159,8000
"MC",0.27027027027027,"effect-dominated",-0.0549152608246252,8000
"MC",0.272727272727273,"effect-dominated",-0.0379291790066767,8000
"MC",0.294117647058824,"effect-dominated",-0.0396777355007999,8000
"MC",0.303030303030303,"effect-dominated",-0.058452593710285,8000
"MC",0.326086956521739,"effect-dominated",-0.0415677971281279,8000
"MC",0.333333333333333,"mixed",-0.0599053355151281,16000
"MC",0.357142857142857,"mixed",-0.0471520313113567,24000
"MC",0.384615384615385,"mixed",-0.032422498809043,8000
"MC",0.392156862745098,"mixed",-0.0375843881734206,8000
"MC",0.394736842105263,"mixed",-0.0451482926942967,8000
"MC",0.40983606557377,"mixed",-0.0341763292104049,8000
"MC",0.416666666666667,"mixed",-0.0676731869346541,8000
"MC",0.425531914893617,"mixed",-0.0391963567633033,8000
"MC",0.428571428571428,"mixed",-0.0270239480011927,8000
"MC",0.446428571428571,"mixed",-0.0356376464086071,8000
"MC",0.454545454545455,"mixed",-0.0403758877039322,16000
"MC",0.465116279069767,"mixed",-0.0421040243520955,8000
"MC",0.466666666666667,"mixed",-0.0281192264312501,8000
"MC",0.480769230769231,"mixed",-0.035673891450402,8000
"MC",0.491803278688525,"mixed",-0.0308628416793104,8000
"MC",0.492957746478873,"mixed",-0.0287126864801384,8000
"MC",0.5,"mixed",-0.0981925404017434,24000
"MC",0.517241379310345,"bias-dominated",-0.0555789869622909,8000
