"key","config_id","sigma_ps","K","ex_violation","psi","mu_b","bf_true","true_zone","Mean_BF_mc","ci_lo_mc","ci_hi_mc","Mean_BF_mcmc","ci_lo_mcmc","ci_hi_mcmc"
"cfg1_psi0_mu-0.05_sps0.06","sps0.06_K12_exV0",0.06,12,0,0,-0.05,1,"bias-dominated",0.544811310958539,0.332835090099725,0.715841030391206,0.510758905381482,0.0879860120409416,0.876238282800556
"cfg1_psi0_mu-0.1_sps0.06","sps0.06_K12_exV0",0.06,12,0,0,-0.1,1,"bias-dominated",0.700438787224728,0.567847669441961,0.81355540051257,0.65796623044561,0.201752737180991,0.915264926856217
"cfg1_psi0_mu-0.15_sps0.06","sps0.06_K12_exV0",0.06,12,0,0,-0.15,1,"bias-dominated",0.780659544025411,0.675368487965467,0.871580177663463,0.743480761126412,0.398108721905947,0.955696038417156
"cfg1_psi0_mu-0.2_sps0.06","sps0.06_K12_exV0",0.06,12,0,0,-0.2,1,"bias-dominated",0.819444080497245,0.732816089266166,0.894896915236208,0.790984587018104,0.52540016617228,0.966201150846904
"cfg1_psi0_mu-0.3_sps0.06","sps0.06_K12_exV0",0.06,12,0,0,-0.3,1,"bias-dominated",0.865266914237415,0.801551684584119,0.919940681488272,0.843874503493559,0.651829296545526,0.977053877211513
"cfg1_psi0_mu-0.4_sps0.06","sps0.06_K12_exV0",0.06,12,0,0,-0.4,1,"bias-dominated",0.891187518479422,0.841041646215933,0.935470428240815,0.876167972010699,0.723415612274218,0.982397379732091
"cfg1_psi-0.05_mu-0.05_sps0.06","sps0.06_K12_exV0",0.06,12,0,-0.05,-0.05,0.5,"mixed",0.488486995982917,0.270264615207188,0.681508372975105,0.462733759302048,0.0522441909035259,0.893670120954237
"cfg1_psi-0.05_mu-0.1_sps0.06","sps0.06_K12_exV0",0.06,12,0,-0.05,-0.1,0.666666666666667,"bias-dominated",0.64420759587909,0.492086526941731,0.77611844479073,0.617479545148003,0.136636557244307,0.927267678541117
"cfg1_psi-0.05_mu-0.15_sps0.06","sps0.06_K12_exV0",0.06,12,0,-0.05,-0.15,0.75,"bias-dominated",0.734106286683691,0.615770742061985,0.836586692275728,0.707191467214723,0.314915498064389,0.95143567677575
"cfg1_psi-0.05_mu-0.2_sps0.06","sps0.06_K12_exV0",0.06,12,0,-0.05,-0.2,0.8,"bias-dominated",0.776335372432003,0.680541967054891,0.860441520163,0.755259075112787,0.445452174268397,0.959199195491313
"cfg1_psi-0.05_mu-0.3_sps0.06","sps0.06_K12_exV0",0.06,12,0,-0.05,-0.3,0.857142857142857,"bias-dominated",0.830245286709412,0.76077105557136,0.891572987439357,0.815489926992352,0.596691037269828,0.966416756482101
"cfg1_psi-0.05_mu-0.4_sps0.06","sps0.06_K12_exV0",0.06,12,0,-0.05,-0.4,0.888888888888889,"bias-dominated",0.863891556257223,0.810007799974427,0.911269232514307,0.851894059648528,0.678488308538216,0.972208003450595
"cfg1_psi-0.1_mu-0.05_sps0.06","sps0.06_K12_exV0",0.06,12,0,-0.1,-0.05,0.333333333333333,"mixed",0.379301122639737,0.1917056505007,0.559144423002093,0.372893249036528,0.0285994296160914,0.831749184038788
"cfg1_psi-0.1_mu-0.1_sps0.06","sps0.06_K12_exV0",0.06,12,0,-0.1,-0.1,0.5,"mixed",0.527764308614386,0.391819647913877,0.656269696474895,0.516095804981929,0.0960619864943394,0.86366988274804
"cfg1_psi-0.1_mu-0.15_sps0.06","sps0.06_K12_exV0",0.06,12,0,-0.1,-0.15,0.6,"bias-dominated",0.630464847967772,0.522170395208037,0.731562262732561,0.618436294620513,0.250679127726415,0.895159492245559
"cfg1_psi-0.1_mu-0.2_sps0.06","sps0.06_K12_exV0",0.06,12,0,-0.1,-0.2,0.666666666666667,"bias-dominated",0.683614444517695,0.592945258883465,0.76973447486069,0.675688405736863,0.375924971124697,0.910128881288672
"cfg1_psi-0.1_mu-0.3_sps0.06","sps0.06_K12_exV0",0.06,12,0,-0.1,-0.3,0.75,"bias-dominated",0.758255207829349,0.69046380162788,0.821160516766198,0.75128851671614,0.530700898553091,0.926955046106033
"cfg1_psi-0.1_mu-0.4_sps0.06","sps0.06_K12_exV0",0.06,12,0,-0.1,-0.4,0.8,"bias-dominated",0.80698345110972,0.753535893721467,0.856668041581349,0.799987166928324,0.624144574992529,0.941320554190921
"cfg1_psi-0.15_mu-0.05_sps0.06","sps0.06_K12_exV0",0.06,12,0,-0.15,-0.05,0.25,"effect-dominated",0.278338403977703,0.1360557009275,0.425422960478937,0.282465533844119,0.0188561815954356,0.71885921257871
"cfg1_psi-0.15_mu-0.1_sps0.06","sps0.06_K12_exV0",0.06,12,0,-0.15,-0.1,0.4,"mixed",0.418711766208611,0.305277989719998,0.528841449968786,0.41557902201188,0.0709633602838708,0.760730114639848
"cfg1_psi-0.15_mu-0.15_sps0.06","sps0.06_K12_exV0",0.06,12,0,-0.15,-0.15,0.5,"mixed",0.523245105635375,0.430474990159131,0.614748060507235,0.519781203988317,0.203836798165181,0.80463227456228
