psi_f,mu_f,bf_hat_bin,n,med,q1,q3,loa_lo,loa_hi
-0.01,-0.05,"[0.2, 0.3)",1011,-0.584036684150883,-0.608487953540792,-0.560885325547671,-0.631429208998447,-0.536655150640859
-0.01,-0.05,"[0.9, 1.0)",244,0.116027992631387,0.0957602089243431,0.140564529344923,0.0704976902650859,0.163068553675367
-0.01,-0.05,"[0.5, 0.6)",661,-0.288714225422892,-0.312792381676009,-0.26181464438121,-0.331397780053149,-0.235423302868354
-0.01,-0.05,"[0.8, 0.9)",330,0.0164490460143842,-0.00972083572274876,0.0389288570230584,-0.0295902965703245,0.0636219367659512
-0.01,-0.05,"[0.6, 0.7)",548,-0.18809061511347,-0.209584100121953,-0.162125775613064,-0.230680510704449,-0.135875718090439
-0.01,-0.05,"[0.7, 0.8)",418,-0.0851216409777388,-0.108950647058532,-0.0596329808758063,-0.12972146916241,-0.036376630441612
-0.01,-0.05,"[0.4, 0.5)",836,-0.385710847364113,-0.410222286564048,-0.359488869533599,-0.431071941119494,-0.335662955762495
-0.01,-0.05,"[0.3, 0.4)",968,-0.483612737887911,-0.508502888700857,-0.457905675460846,-0.531390243104015,-0.435821861671412
-0.01,-0.05,"[0.1, 0.2)",1267,-0.686816659040257,-0.709481080233233,-0.662533401650399,-0.730551233402492,-0.636902726237405
-0.01,-0.05,"[0.0, 0.1)",1717,-0.785402019890854,-0.807977744963785,-0.761862730030611,-0.830294658008545,-0.73633668399675
-0.01,-0.1,"[0.7, 0.8)",917,-0.159915694647337,-0.186501043507729,-0.13516027646889,-0.206603514328165,-0.112188397724509
-0.01,-0.1,"[0.2, 0.3)",798,-0.650847290816488,-0.677575273968146,-0.629553833434254,-0.705275073989034,-0.611064051083837
-0.01,-0.1,"[0.5, 0.6)",1213,-0.358049646693187,-0.384824914189249,-0.334511738450455,-0.406909083649759,-0.310842392215808
-0.01,-0.1,"[0.4, 0.5)",1186,-0.459026657509469,-0.484361836633857,-0.434379480843883,-0.50687896439905,-0.412484343996604
-0.01,-0.1,"[0.8, 0.9)",734,-0.0648610635614421,-0.0869840758690911,-0.0363442380538284,-0.107094748744602,-0.0114514374935722
-0.01,-0.1,"[0.9, 1.0)",618,0.041150602825733,0.0127478591974965,0.0632486817936306,-0.00637216479980836,0.0884937916202061
-0.01,-0.1,"[0.6, 0.7)",1104,-0.260781274894161,-0.284388457490055,-0.235705591314893,-0.306191392500881,-0.21159143644311
-0.01,-0.1,"[0.3, 0.4)",1046,-0.556350032254921,-0.57984020666366,-0.532666166491527,-0.605899691780312,-0.51165929400204
-0.01,-0.1,"[0.1, 0.2)",358,-0.740601048956579,-0.76659549965155,-0.723777694920298,-0.799284136363106,-0.710975349722514
-0.01,-0.15,"[0.6, 0.7)",1439,-0.287482120422881,-0.310055295216655,-0.263993626107124,-0.334823213143059,-0.239983811755852
-0.01,-0.15,"[0.8, 0.9)",1211,-0.0885653213448395,-0.11438349567285,-0.0643112157182291,-0.135208299613356,-0.0407140254868951
-0.01,-0.15,"[0.7, 0.8)",1419,-0.189378359639886,-0.213889903650269,-0.163900101794899,-0.234778760505861,-0.140469263573249
-0.01,-0.15,"[0.4, 0.5)",1010,-0.480774736652032,-0.50691200834399,-0.458913195167545,-0.535478769518149,-0.439557005322054
-0.01,-0.15,"[0.5, 0.6)",1279,-0.385661667242274,-0.410287546761868,-0.360148177902681,-0.434825943639413,-0.339257766847875
-0.01,-0.15,"[0.9, 1.0)",1000,0.013223565108578,-0.0135665007378064,0.0365509207755778,-0.0349877340873979,0.0601834912213527
-0.01,-0.2,"[0.7, 0.8)",1717,-0.201363832185108,-0.225263740528142,-0.174726312760907,-0.249842619853954,-0.154840748537709
-0.01,-0.2,"[0.8, 0.9)",1637,-0.102984653867604,-0.12730531044556,-0.0777609832060525,-0.149926398158699,-0.0552781422999215
-0.01,-0.2,"[0.9, 1.0)",1424,-0.00357500916911385,-0.0276204189625786,0.0216480398732218,-0.0499234867825012,0.0450397504657799
-0.01,-0.2,"[0.6, 0.7)",1450,-0.300419216552155,-0.326774830002326,-0.277183051821665,-0.349834820066459,-0.255017392807201
-0.01,-0.2,"[0.5, 0.6)",1128,-0.395335313430996,-0.422051177039252,-0.372640161660354,-0.449352534088293,-0.354456192491179
-0.01,-0.2,"[0.4, 0.5)",525,-0.490680630766524,-0.51641011250437,-0.470102596656307,-0.548406403375629,-0.453613499724875
-0.01,-0.3,"[0.8, 0.9)",2184,-0.117423870254615,-0.141522506132556,-0.0928572394944405,-0.164813563435079,-0.0702898370246062
-0.01,-0.3,"[0.7, 0.8)",1965,-0.213191870015116,-0.241261904663799,-0.191647664079939,-0.265125017248315,-0.170271700424231
-0.01,-0.3,"[0.9, 1.0)",2128,-0.0208197261581364,-0.0441297237669665,0.00425326312147328,-0.0651215620764723,0.0292245022386541
