"key","config_id","sigma_ps","se_psi_obs","K","ex_violation","psi","mu_b","bf_true","true_zone","method","bias","rmse","sd","coverage","ci_width"
"cfg1_psi-0.4_mu-0.4_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.4,-0.4,0.5,"mixed","mc",0.0024949046300601,0.0456857739758023,0.0456404255359007,0.535,0.0674678582387586
"cfg1_psi-0.4_mu-0.4_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.4,-0.4,0.5,"mixed","mcmc",0.00086591967244237,0.0440515120185647,0.0440650385437763,0.991,0.230308566621924
"cfg1_psi-0.4_mu-0.35_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.4,-0.35,0.466666666666667,"mixed","mc",0.000823885520054075,0.0447788456257159,0.0447936680896135,0.597,0.0719078563608063
"cfg1_psi-0.4_mu-0.35_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.4,-0.35,0.466666666666667,"mixed","mcmc",-0.000120994182745192,0.0423092883062104,0.042330285735821,0.994,0.244508706612964
"cfg1_psi-0.4_mu-0.3_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.4,-0.3,0.428571428571428,"mixed","mc",0.00594614931929193,0.0453176843288573,0.0449483723551812,0.609,0.0781928925038346
"cfg1_psi-0.4_mu-0.3_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.4,-0.3,0.428571428571428,"mixed","mcmc",0.00529214978088654,0.0436945080424282,0.0433945419383189,0.997,0.264905139929726
"cfg1_psi-0.4_mu-0.25_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.4,-0.25,0.384615384615385,"mixed","mc",0.00386840943576423,0.0474905589959315,0.0473564275829243,0.628,0.0847058933543125
"cfg1_psi-0.4_mu-0.25_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.4,-0.25,0.384615384615385,"mixed","mcmc",0.00317058158454397,0.0450772055931235,0.0449880628867568,0.996,0.284214904561652
"cfg1_psi-0.4_mu-0.2_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.4,-0.2,0.333333333333333,"mixed","mc",0.00410514185271104,0.0468678513443824,0.0467110824669422,0.69,0.0914028867387434
"cfg1_psi-0.4_mu-0.2_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.4,-0.2,0.333333333333333,"mixed","mcmc",0.0035144390622788,0.0433003085740895,0.0431790443451387,1,0.310013488790779
"cfg1_psi-0.4_mu-0.15_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.4,-0.15,0.272727272727273,"effect-dominated","mc",0.00384642960659653,0.0456022450646404,0.0454624743144036,0.714,0.0999469276983492
"cfg1_psi-0.4_mu-0.15_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.4,-0.15,0.272727272727273,"effect-dominated","mcmc",0.00326188785799359,0.0422709737303472,0.0421660204547995,1,0.336455968662668
"cfg1_psi-0.4_mu-0.1_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.4,-0.1,0.2,"effect-dominated","mc",0.00117070235090234,0.0442686575945957,0.044275318237571,0.778,0.108026044975543
"cfg1_psi-0.4_mu-0.1_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.4,-0.1,0.2,"effect-dominated","mcmc",0.00139995289231756,0.0396082074584259,0.0396032656307231,1,0.351573273094003
"cfg1_psi-0.4_mu-0.05_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.4,-0.05,0.111111111111111,"effect-dominated","mc",0.000252559126318441,0.041090765559153,0.0411105498069585,0.844,0.12081826451486
"cfg1_psi-0.4_mu-0.05_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.4,-0.05,0.111111111111111,"effect-dominated","mcmc",0.00565669113892195,0.0326205201923342,0.0321423912659531,1,0.310515544795576
"cfg1_psi-0.36_mu-0.4_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.36,-0.4,0.526315789473684,"bias-dominated","mc",0.00357422332090405,0.0502949766294669,0.0501929171371985,0.517,0.0716847088065779
"cfg1_psi-0.36_mu-0.4_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.36,-0.4,0.526315789473684,"bias-dominated","mcmc",0.00157914631531879,0.048407253125199,0.0484056976357692,0.988,0.241985135866725
"cfg1_psi-0.36_mu-0.35_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.36,-0.35,0.492957746478873,"mixed","mc",-9.55717301721205e-05,0.047353425491836,0.0473770234840631,0.581,0.0768374308426066
"cfg1_psi-0.36_mu-0.35_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.36,-0.35,0.492957746478873,"mixed","mcmc",-0.000888922830488486,0.0455068554139363,0.0455209387175624,0.995,0.257949077923655
"cfg1_psi-0.36_mu-0.3_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.36,-0.3,0.454545454545455,"mixed","mc",0.00507008902536954,0.0494853998577009,0.0492496144235896,0.595,0.0829807902972722
"cfg1_psi-0.36_mu-0.3_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.36,-0.3,0.454545454545455,"mixed","mcmc",0.00422623932313281,0.0472016211165558,0.0470355640074188,0.996,0.281546479122111
"cfg1_psi-0.36_mu-0.25_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.36,-0.25,0.40983606557377,"mixed","mc",0.00327114619112997,0.0507510003713472,0.0506708118393737,0.625,0.0914102839696244
"cfg1_psi-0.36_mu-0.25_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.36,-0.25,0.40983606557377,"mixed","mcmc",0.00286343813915868,0.0482388091022532,0.048177842730419,0.997,0.304018023111697
"cfg1_psi-0.36_mu-0.2_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.36,-0.2,0.357142857142857,"mixed","mc",0.00406839230310092,0.0496568042636857,0.0495146250298021,0.693,0.0991159522506794
"cfg1_psi-0.36_mu-0.2_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.36,-0.2,0.357142857142857,"mixed","mcmc",0.00375735976904202,0.0471009006722126,0.0469742873854942,0.999,0.331646418303803
"cfg1_psi-0.36_mu-0.15_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.36,-0.15,0.294117647058824,"effect-dominated","mc",0.00530752870102281,0.0517641255266697,0.0515170732812735,0.708,0.10760947586115
"cfg1_psi-0.36_mu-0.15_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.36,-0.15,0.294117647058824,"effect-dominated","mcmc",0.00512101996501876,0.0478574157754014,0.0476064467587165,1,0.365091535178788
"cfg1_psi-0.36_mu-0.1_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.36,-0.1,0.217391304347826,"effect-dominated","mc",0.00379008580500513,0.051679163038742,0.0515657848980088,0.749,0.118607074442107
"cfg1_psi-0.36_mu-0.1_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.36,-0.1,0.217391304347826,"effect-dominated","mcmc",0.00429438942092783,0.0460623233893788,0.0458846516472112,1,0.385601850956927
"cfg1_psi-0.36_mu-0.05_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.36,-0.05,0.121951219512195,"effect-dominated","mc",0.000886862953003561,0.047351009919507,0.0473663930407366,0.831,0.132348836842977
"cfg1_psi-0.36_mu-0.05_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.36,-0.05,0.121951219512195,"effect-dominated","mcmc",0.00700223330992172,0.0371670691494731,0.0365197679522533,1,0.343943423073474
"cfg1_psi-0.31_mu-0.4_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.31,-0.4,0.563380281690141,"bias-dominated","mc",0.00442243282737819,0.0571880477292084,0.0570453246114489,0.524,0.0781407471156961
"cfg1_psi-0.31_mu-0.4_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.31,-0.4,0.563380281690141,"bias-dominated","mcmc",0.00340161562588474,0.0555993551441852,0.0555229691540957,0.983,0.259722553986967
"cfg1_psi-0.31_mu-0.35_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.31,-0.35,0.53030303030303,"bias-dominated","mc",0.00274326884612419,0.0567714760781099,0.0567335321110107,0.532,0.0838280005071402
"cfg1_psi-0.31_mu-0.35_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.31,-0.35,0.53030303030303,"bias-dominated","mcmc",0.00158183037569043,0.0540611178258161,0.0540650099282138,0.994,0.277976161237374
"cfg1_psi-0.31_mu-0.3_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.31,-0.3,0.491803278688525,"mixed","mc",0.0051540283436668,0.0572469971141002,0.0570430414598789,0.563,0.0902654479365379
"cfg1_psi-0.31_mu-0.3_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.31,-0.3,0.491803278688525,"mixed","mcmc",0.00400306837111982,0.0545669215801978,0.054447119879924,0.994,0.303455137377112
"cfg1_psi-0.31_mu-0.25_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.31,-0.25,0.446428571428571,"mixed","mc",0.00464321508743752,0.0588550653998274,0.0587009802469406,0.603,0.0997181619262227
"cfg1_psi-0.31_mu-0.25_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.31,-0.25,0.446428571428571,"mixed","mcmc",0.00361585463391246,0.0571452105358275,0.0570592362277078,0.995,0.330974160375425
"cfg1_psi-0.31_mu-0.2_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.31,-0.2,0.392156862745098,"mixed","mc",0.00544816084310284,0.0602965307994078,0.0600799364899819,0.633,0.108476622730436
"cfg1_psi-0.31_mu-0.2_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.31,-0.2,0.392156862745098,"mixed","mcmc",0.0048923157763805,0.0572854330989091,0.057104702422064,0.997,0.36487283030615
"cfg1_psi-0.31_mu-0.15_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.31,-0.15,0.326086956521739,"effect-dominated","mc",0.00631971142096937,0.0597399069614295,0.0594344191651388,0.677,0.120924589125068
"cfg1_psi-0.31_mu-0.15_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.31,-0.15,0.326086956521739,"effect-dominated","mcmc",0.00652286830146342,0.0563470583656593,0.0559962387517155,1,0.407651138104089
"cfg1_psi-0.31_mu-0.1_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.31,-0.1,0.24390243902439,"effect-dominated","mc",0.00557894590286037,0.0623575330545595,0.0621385427070284,0.716,0.134290544113284
"cfg1_psi-0.31_mu-0.1_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.31,-0.1,0.24390243902439,"effect-dominated","mcmc",0.00589811265055548,0.0557178911683925,0.0554325575077142,1,0.434524954432975
"cfg1_psi-0.31_mu-0.05_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.31,-0.05,0.138888888888889,"effect-dominated","mc",0.000418985118952036,0.0557137017038162,0.0557400032020889,0.807,0.150357259864854
"cfg1_psi-0.31_mu-0.05_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.31,-0.05,0.138888888888889,"effect-dominated","mcmc",0.00832590376861798,0.0444643336426694,0.0436997249268347,1,0.395130429705153
"cfg1_psi-0.27_mu-0.4_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.27,-0.4,0.597014925373134,"bias-dominated","mc",0.00491991877129728,0.0619509248375159,0.0617861555408969,0.495,0.0821066660420547
"cfg1_psi-0.27_mu-0.4_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.27,-0.4,0.597014925373134,"bias-dominated","mcmc",0.00392361684435527,0.0602052392925728,0.0601073120185285,0.978,0.274903110181987
"cfg1_psi-0.27_mu-0.35_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.27,-0.35,0.564516129032258,"bias-dominated","mc",0.00453516848465082,0.0640676963380864,0.0639389564431272,0.524,0.090185815250512
"cfg1_psi-0.27_mu-0.35_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.27,-0.35,0.564516129032258,"bias-dominated","mcmc",0.00355583127735756,0.0613317359403253,0.061259208189208,0.989,0.2962865094069
"cfg1_psi-0.27_mu-0.3_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.27,-0.3,0.526315789473684,"bias-dominated","mc",0.00709053401628314,0.0652857354082003,0.0649320240166312,0.546,0.0971808165040159
"cfg1_psi-0.27_mu-0.3_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.27,-0.3,0.526315789473684,"bias-dominated","mcmc",0.00644000226173743,0.0623933719763685,0.062091179341371,0.989,0.325071193234504
"cfg1_psi-0.27_mu-0.25_sps0.06","sps0.06_K12_exV0",0.06,0.06,12,0,-0.27,-0.25,0.480769230769231,"mixed","mc",0.00641369567725659,0.0655074196880561,0.0652253086066251,0.583,0.10622920078933
