"Variable","Overall","Achieved >=50%","Did not achieve 50%","SMD","SMD (IPTW)"
"N","14677","1772","12905","",""
"Age, mean (SD), y","71.3 (13.6)","70.0 (12.9)","71.4 (13.6)","0.106","0.004"
"Female, n (%)","6702 (45.7)","702 (39.6)","6000 (46.5)","0.139","-0.011"
"Heart rate, mean (SD), bpm","79.9 (18.2)","81.5 (17.9)","79.7 (18.2)","0.103","0.001"
"QRS duration, mean (SD), ms","106.7 (25.6)","108.9 (26.2)","106.4 (25.5)","0.096","0.011"
"QTc interval, mean (SD), ms","458.7 (29.6)","463.5 (28.2)","458.1 (29.7)","0.189","0.002"
"Creatinine, mean (SD), mg/dL","1.5 (1.4)","1.7 (1.6)","1.5 (1.4)","0.142","0.011"
"eGFR, mean (SD), mL/min/1.73m^2","59.9 (28.3)","56.4 (28.0)","60.4 (28.4)","0.142","-0.015"
"Hemoglobin, mean (SD), g/dL","10.8 (1.9)","11.1 (2.0)","10.8 (1.9)","0.199","-0.010"
"Sodium, mean (SD), mEq/L","112.0 (2.3)","112.1 (2.4)","112.0 (2.3)","0.067","0.021"
"Potassium, mean (SD), mEq/L","4.2 (0.6)","4.3 (0.7)","4.2 (0.6)","0.142","-0.007"
"Atrial fibrillation, n (%)","4836 (32.9)","684 (38.6)","4152 (32.2)","0.135","0.016"
"Left bundle branch block, n (%)","1060 (7.2)","160 (9.0)","900 (7.0)","0.076","0.010"
"Prolonged QTc, n (%)","5660 (38.6)","811 (45.8)","4849 (37.6)","0.167","0.010"
"Wide QRS (>=120 ms), n (%)","3806 (26.0)","488 (27.6)","3318 (25.7)","0.041","0.007"
"eGFR <60 mL/min/1.73m^2, n (%)","7156 (50.4)","975 (55.4)","6181 (49.7)","0.114","0.027"
"Age >=75 y, n (%)","6679 (45.5)","719 (40.6)","5960 (46.2)","0.113","0.012"
