"cut1","cut2","eff_ber","bias_ber","overall_acc","bias_acc","comp_acc","eff_acc","decisive_rate","cov_bias","cov_comp","cov_eff"
0.2,0.5,0.25,1,74.9,80.3,69.3,69.8,63.2,45.8,36.8,17.4
0.25,0.5,0.333,1,74.3,80.3,61,82.8,68.6,45.8,31.4,22.8
0.3,0.5,0.429,1,72.2,80.3,50.1,91.9,74.4,45.8,25.6,28.6
0.333,0.5,0.5,1,70,80.3,41.8,95.5,78.4,45.8,21.6,32.6
0.35,0.5,0.538,1,68.7,80.3,37.3,96.4,80.4,45.8,19.6,34.6
0.4,0.5,0.667,1,64.4,80.3,23.6,98.1,86.8,45.8,13.2,41
0.45,0.5,0.818,1,60.1,80.3,10.4,98.9,93.3,45.8,6.7,47.6
0.2,0.55,0.25,1.222,73,72,76.1,69.8,56.7,39.3,43.3,17.4
0.25,0.55,0.333,1.222,72.4,72,67.8,82.8,62.1,39.3,37.9,22.8
0.3,0.55,0.429,1.222,70.3,72,56.8,91.9,67.9,39.3,32.1,28.6
0.333,0.55,0.5,1.222,68.1,72,48.6,95.5,71.9,39.3,28.1,32.6
0.35,0.55,0.538,1.222,66.8,72,44.1,96.4,74,39.3,26,34.6
0.4,0.55,0.667,1.222,62.5,72,30.3,98.1,80.3,39.3,19.7,41
0.45,0.55,0.818,1.222,58.2,72,17.1,98.9,86.9,39.3,13.1,47.6
0.2,0.6,0.25,1.5,69.3,62.3,79.7,69.8,50.7,33.3,49.3,17.4
0.25,0.6,0.333,1.5,68.7,62.3,71.4,82.8,56,33.3,44,22.8
0.3,0.6,0.429,1.5,66.6,62.3,60.4,91.9,61.9,33.3,38.1,28.6
0.333,0.6,0.5,1.5,64.5,62.3,52.2,95.5,65.9,33.3,34.1,32.6
0.35,0.6,0.538,1.5,63.1,62.3,47.7,96.4,67.9,33.3,32.1,34.6
0.4,0.6,0.667,1.5,58.8,62.3,33.9,98.1,74.2,33.3,25.8,41
0.45,0.6,0.818,1.5,54.5,62.3,20.7,98.9,80.8,33.3,19.2,47.6
0.2,0.65,0.25,1.857,64.9,52.2,81.5,69.8,45,27.5,55,17.4
0.25,0.65,0.333,1.857,64.3,52.2,73.2,82.8,50.3,27.5,49.7,22.8
0.3,0.65,0.429,1.857,62.2,52.2,62.3,91.9,56.2,27.5,43.8,28.6
0.333,0.65,0.5,1.857,60,52.2,54,95.5,60.2,27.5,39.8,32.6
0.35,0.65,0.538,1.857,58.7,52.2,49.5,96.4,62.2,27.5,37.8,34.6
0.4,0.65,0.667,1.857,54.4,52.2,35.8,98.1,68.5,27.5,31.5,41
0.45,0.65,0.818,1.857,50.1,52.2,22.6,98.9,75.1,27.5,24.9,47.6
