cond,n,bf_true,true_log_rr,bias_mu,n_nc,se_psi_obs,coverage_current,coverage_joint,half_cur,half_jnt
cfg1_psi-0.4_mu-0.4_sps0.06,200,0.5,-0.4,-0.4,12,0.06,99,99,0.11499724938772,0.137764448135389
cfg1_psi-0.4_mu-0.35_sps0.06,200,0.466666666666667,-0.4,-0.35,12,0.06,99.5,100,0.12104226895822,0.143278098948487
cfg1_psi-0.4_mu-0.3_sps0.06,200,0.428571428571428,-0.4,-0.3,12,0.06,100,100,0.130436617552375,0.151402098425108
cfg1_psi-0.4_mu-0.25_sps0.06,200,0.384615384615385,-0.4,-0.25,12,0.06,100,100,0.138128600352736,0.158838459940283
cfg1_psi-0.4_mu-0.2_sps0.06,200,0.333333333333333,-0.4,-0.2,12,0.06,99.5,100,0.151939693313235,0.166921075480385
cfg1_psi-0.4_mu-0.15_sps0.06,200,0.272727272727273,-0.4,-0.15,12,0.06,100,100,0.166855495766325,0.180551209221823
cfg1_psi-0.4_mu-0.1_sps0.06,200,0.2,-0.4,-0.1,12,0.06,100,100,0.176820818782202,0.187708130918917
cfg1_psi-0.4_mu-0.05_sps0.06,200,0.111111111111111,-0.4,-0.05,12,0.06,100,100,0.154054624383156,0.16069166967109
cfg1_psi-0.36_mu-0.4_sps0.06,200,0.526315789473684,-0.36,-0.4,12,0.06,98.5,100,0.119235441375373,0.145383776809989
cfg1_psi-0.36_mu-0.35_sps0.06,200,0.492957746478873,-0.36,-0.35,12,0.06,99,99,0.129795330542804,0.156773603001188
cfg1_psi-0.36_mu-0.3_sps0.06,200,0.454545454545455,-0.36,-0.3,12,0.06,99.5,100,0.139385932881042,0.165529001627081
cfg1_psi-0.36_mu-0.25_sps0.06,200,0.409836065573771,-0.36,-0.25,12,0.06,99.5,100,0.154781067361953,0.176323974452504
cfg1_psi-0.36_mu-0.2_sps0.06,200,0.357142857142857,-0.36,-0.2,12,0.06,100,100,0.162037771136604,0.182284856058759
cfg1_psi-0.36_mu-0.15_sps0.06,200,0.294117647058824,-0.36,-0.15,12,0.06,100,100,0.178715272023316,0.197007944520616
cfg1_psi-0.36_mu-0.1_sps0.06,200,0.217391304347826,-0.36,-0.1,12,0.06,100,100,0.193518967300348,0.208504500527678
cfg1_psi-0.36_mu-0.05_sps0.06,200,0.121951219512195,-0.36,-0.05,12,0.06,100,100,0.173054521594881,0.180956326121553
cfg1_psi-0.31_mu-0.4_sps0.06,200,0.563380281690141,-0.31,-0.4,12,0.06,97,99,0.128316370706438,0.159230277308644
cfg1_psi-0.31_mu-0.35_sps0.06,200,0.53030303030303,-0.31,-0.35,12,0.06,99.5,100,0.141319618252318,0.174552677278148
cfg1_psi-0.31_mu-0.3_sps0.06,200,0.491803278688525,-0.31,-0.3,12,0.06,98.5,100,0.149657421997671,0.18077919922107
cfg1_psi-0.31_mu-0.25_sps0.06,200,0.446428571428571,-0.31,-0.25,12,0.06,99,100,0.163187269133036,0.192314045628442
cfg1_psi-0.31_mu-0.2_sps0.06,200,0.392156862745098,-0.31,-0.2,12,0.06,100,100,0.175647931928231,0.202461720718529
cfg1_psi-0.31_mu-0.15_sps0.06,200,0.326086956521739,-0.31,-0.15,12,0.06,100,100,0.198016815242614,0.222165164198314
cfg1_psi-0.31_mu-0.1_sps0.06,200,0.24390243902439,-0.31,-0.1,12,0.06,100,100,0.215706616494778,0.238920991046283
cfg1_psi-0.31_mu-0.05_sps0.06,200,0.138888888888889,-0.31,-0.05,12,0.06,100,100,0.190095147508813,0.206639707634329
cfg1_psi-0.27_mu-0.4_sps0.06,200,0.597014925373134,-0.27,-0.4,12,0.06,100,100,0.133997090520351,0.173245136351427
cfg1_psi-0.27_mu-0.35_sps0.06,200,0.564516129032258,-0.27,-0.35,12,0.06,99.5,100,0.144880618949148,0.183614477386607
cfg1_psi-0.27_mu-0.3_sps0.06,200,0.526315789473684,-0.27,-0.3,12,0.06,97.5,100,0.160834590789541,0.199307251781023
cfg1_psi-0.27_mu-0.25_sps0.06,200,0.480769230769231,-0.27,-0.25,12,0.06,99.5,100,0.17379436919645,0.208504592264641
