"bin","bf_lo","bf_hi","bf_centre","n_narrow","n_wide","p_bd_narrow","p_bd_wide","p_bd_all","p_bd_conservative","verdict","ci_width_gain"
1,-Inf,0.137463416913946,0.0927213667338725,51357,28643,0.00623089354907802,0.0356806200467828,0.016775,0.0356806200467828,"usable as effect evidence",0.0294497264977048
2,0.137463416913946,0.225854049769728,0.183344746963883,28134,51866,0.0109831520580081,0.0726487486985694,0.0509625,0.0726487486985694,"usable as effect evidence",0.0616655966405613
3,0.225854049769728,0.30120719865427,0.265420325628433,33897,46103,0.0428651503082869,0.138646075092727,0.0980625,0.138646075092727,"usable as effect evidence",0.0957809247844403
4,0.30120719865427,0.363080491623133,0.33366478401112,39551,40449,0.11140047027888,0.239017033795644,0.175925,0.239017033795644,"mixed, hypothesis-generating",0.127616563516763
5,0.363080491623133,0.415947591218904,0.390612906419429,43137,36863,0.244940538284999,0.36133792691859,0.298575,0.36133792691859,"mixed, hypothesis-generating",0.116397388633592
6,0.415947591218904,0.464132956558,0.440352643333931,46294,33706,0.437767313258738,0.501928440040349,0.4648,0.501928440040349,"competitive, no verdict",0.0641611267816112
7,0.464132956558,0.51286720334941,0.488123875507001,46124,33876,0.629737230075449,0.648246546227418,0.637575,0.648246546227418,"competitive, no verdict",0.0185093161519688
8,0.51286720334941,0.567923299641897,0.539352570299657,43674,36326,0.812130787196043,0.767989869514948,0.7920875,0.812130787196043,"not usable as effect evidence",-0.0441409176810954
9,0.567923299641897,0.634041682287498,0.599288536823112,39441,40559,0.928323318374281,0.85601222909835,0.8916625,0.928323318374281,"not usable as effect evidence",-0.0723110892759301
10,0.634041682287498,0.71747659406293,0.6730183696294,35022,44978,0.976100736679801,0.902218862555027,0.9345625,0.976100736679801,"not usable as effect evidence",-0.0738818741247743
11,0.71747659406293,0.824487901390778,0.767404421449216,29231,50769,0.993568471827854,0.93023301621068,0.953375,0.993568471827854,"not usable as effect evidence",-0.0633354556171742
12,0.824487901390778,Inf,0.88620498084982,44138,35862,0.996873442385246,0.971808599631922,0.9856375,0.996873442385246,"not usable as effect evidence",-0.0250648427533239
